## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../bams/F2014_female_fall_DrosEU_match_sorted.bam] OUTPUT=../bams/F2014_female_fall_DrosEU_match_sorted_marked.bam METRICS_FILE=F2014_female_fall_DrosEU_match_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Dec 15 12:31:31 GMT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	16265	10864224	103822	4814213	4213	1781497	255621	0.164049	33249809

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.020377	7652534	0	7823543
2.0	1.756342	1168119	232884	1058103
3.0	2.287169	209174	10320	165267
4.0	2.670038	40372	600	27780
5.0	2.946188	8255	46	4956
6.0	3.145367	1962	11	1097
7.0	3.289027	558	2	333
8.0	3.392645	274	2	231
9.0	3.467382	199	1	170
10.0	3.521286	148	1	140
11.0	3.560166	139	0	135
12.0	3.588209	97	0	95
13.0	3.608435	101	0	105
14.0	3.623023	83	0	78
15.0	3.633546	78	0	70
16.0	3.641135	60	1	58
17.0	3.646609	55	0	55
18.0	3.650557	40	0	42
19.0	3.653405	43	0	45
20.0	3.655459	39	0	33
21.0	3.65694	31	0	33
22.0	3.658009	38	0	35
23.0	3.65878	23	0	30
24.0	3.659335	28	0	27
25.0	3.659736	23	0	19
26.0	3.660025	16	0	15
27.0	3.660234	19	0	16
28.0	3.660385	14	0	15
29.0	3.660493	16	0	15
30.0	3.660571	10	0	13
31.0	3.660628	15	0	18
32.0	3.660668	13	0	8
33.0	3.660698	10	0	12
34.0	3.660719	12	0	8
35.0	3.660734	7	0	7
36.0	3.660745	6	0	8
37.0	3.660753	8	0	4
38.0	3.660759	5	0	7
39.0	3.660763	8	0	9
40.0	3.660766	5	0	7
41.0	3.660768	7	0	6
42.0	3.66077	7	0	8
43.0	3.660771	8	0	4
44.0	3.660772	1	0	4
45.0	3.660772	4	0	7
46.0	3.660773	9	0	5
47.0	3.660773	5	0	3
48.0	3.660773	2	0	1
49.0	3.660773	1	0	1
50.0	3.660774	1	0	1
51.0	3.660774	1	0	1
52.0	3.660774	1	0	3
53.0	3.660774	3	0	2
54.0	3.660774	2	0	1
55.0	3.660774	3	0	3
56.0	3.660774	2	0	3
57.0	3.660774	1	0	1
58.0	3.660774	2	0	1
59.0	3.660774	2	0	2
60.0	3.660774	1	0	2
61.0	3.660774	3	0	3
62.0	3.660774	1	0	2
63.0	3.660774	0	0	1
64.0	3.660774	2	0	0
65.0	3.660774	2	0	2
66.0	3.660774	1	0	1
67.0	3.660774	1	0	1
68.0	3.660774	2	0	2
69.0	3.660774	0	0	0
70.0	3.660774	2	0	2
71.0	3.660774	1	0	0
72.0	3.660774	0	0	0
73.0	3.660774	1	0	1
74.0	3.660774	0	0	1
75.0	3.660774	0	0	0
76.0	3.660774	1	0	1
77.0	3.660774	1	0	0
78.0	3.660774	0	0	0
79.0	3.660774	0	0	0
80.0	3.660774	0	0	0
81.0	3.660774	1	0	1
82.0	3.660774	0	0	0
83.0	3.660774	0	0	1
84.0	3.660774	0	0	1
85.0	3.660774	3	0	1
86.0	3.660774	0	0	0
87.0	3.660774	0	0	0
88.0	3.660774	0	0	0
89.0	3.660774	0	0	1
90.0	3.660774	1	0	0
91.0	3.660774	1	0	1
92.0	3.660774	0	0	0
93.0	3.660774	0	0	0
94.0	3.660774	0	0	0
95.0	3.660774	0	0	0
96.0	3.660774	0	0	0
97.0	3.660774	1	0	1
98.0	3.660774	0	0	0
99.0	3.660774	0	0	0
100.0	3.660774	0	0	0
111.0	0	0	0	1
112.0	0	1	0	0
124.0	0	1	0	1

