## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../bams/MR19female2_sorted.bam] OUTPUT=../bams/MR19female2_sorted_marked.bam METRICS_FILE=MR19female2_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Dec 15 13:19:03 GMT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	40079	16510042	317418	1927605	12308	2684883	396133	0.162796	51215756

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.020838	11745312	0	12012161
2.0	1.760369	1700881	359430	1527674
3.0	2.296111	302723	16550	234525
4.0	2.684222	57356	983	38309
5.0	2.965384	11531	112	6737
6.0	3.169067	2675	20	1504
7.0	3.316622	807	4	494
8.0	3.423517	336	2	287
9.0	3.500955	271	2	231
10.0	3.557054	181	0	171
11.0	3.597694	153	1	155
12.0	3.627135	122	0	129
13.0	3.648463	112	2	100
14.0	3.663914	109	0	106
15.0	3.675107	85	0	87
16.0	3.683216	74	0	69
17.0	3.68909	75	0	78
18.0	3.693345	82	0	79
19.0	3.696428	73	1	77
20.0	3.698662	68	0	69
21.0	3.70028	77	0	70
22.0	3.701452	74	0	82
23.0	3.702301	64	0	63
24.0	3.702916	63	0	63
25.0	3.703361	65	0	68
26.0	3.703684	61	0	60
27.0	3.703918	63	0	59
28.0	3.704087	45	0	49
29.0	3.70421	56	0	59
30.0	3.704299	54	0	52
31.0	3.704364	51	0	47
32.0	3.70441	47	0	46
33.0	3.704444	35	0	29
34.0	3.704468	38	0	45
35.0	3.704486	38	0	38
36.0	3.704499	46	0	45
37.0	3.704508	36	0	38
38.0	3.704515	35	0	33
39.0	3.70452	38	0	41
40.0	3.704524	39	0	36
41.0	3.704526	32	0	31
42.0	3.704528	30	0	27
43.0	3.704529	24	0	31
44.0	3.70453	19	0	17
45.0	3.704531	27	0	26
46.0	3.704532	31	0	24
47.0	3.704532	18	0	22
48.0	3.704532	25	0	28
49.0	3.704532	33	0	27
50.0	3.704533	17	0	23
51.0	3.704533	22	0	21
52.0	3.704533	17	0	16
53.0	3.704533	19	0	25
54.0	3.704533	28	0	26
55.0	3.704533	26	0	22
56.0	3.704533	20	0	14
57.0	3.704533	14	0	22
58.0	3.704533	21	0	23
59.0	3.704533	25	0	19
60.0	3.704533	19	0	15
61.0	3.704533	17	0	22
62.0	3.704533	15	0	15
63.0	3.704533	17	0	19
64.0	3.704533	15	0	17
