## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../bams/MR19male1_sorted.bam] OUTPUT=../bams/MR19male1_sorted_marked.bam METRICS_FILE=MR19male1_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Dec 15 13:09:55 GMT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	26698	18228587	374867	1861536	9434	3009641	409418	0.165243	54960188

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.01938	12960824	0	13231297
2.0	1.751015	1834034	371488	1661961
3.0	2.276127	334276	16776	263814
4.0	2.653013	66172	1114	45612
5.0	2.923514	14084	137	8563
6.0	3.117659	3394	37	1989
7.0	3.257002	1040	20	744
8.0	3.357011	524	14	447
9.0	3.428791	343	3	312
10.0	3.480309	277	2	263
11.0	3.517285	185	3	184
12.0	3.543823	182	0	169
13.0	3.56287	157	0	161
14.0	3.576541	136	1	133
15.0	3.586353	114	0	108
16.0	3.593395	105	0	108
17.0	3.598449	94	0	98
18.0	3.602077	106	0	102
19.0	3.60468	84	0	86
20.0	3.606549	77	0	71
21.0	3.60789	75	0	76
22.0	3.608853	59	0	58
23.0	3.609544	53	0	55
24.0	3.61004	66	0	69
25.0	3.610396	55	0	53
26.0	3.610651	65	0	65
27.0	3.610834	56	0	52
28.0	3.610966	46	0	53
29.0	3.61106	44	0	50
30.0	3.611128	58	0	44
31.0	3.611177	35	0	37
32.0	3.611212	49	0	53
33.0	3.611237	50	0	44
34.0	3.611255	42	0	43
35.0	3.611268	37	0	39
36.0	3.611277	30	0	26
37.0	3.611284	27	0	33
38.0	3.611288	41	0	33
39.0	3.611292	30	0	40
40.0	3.611294	44	0	46
41.0	3.611296	46	0	37
42.0	3.611297	29	0	32
43.0	3.611298	34	0	34
44.0	3.611299	30	0	32
45.0	3.611299	27	0	26
46.0	3.6113	28	0	33
47.0	3.6113	37	0	34
48.0	3.6113	30	0	28
49.0	3.6113	32	0	39
50.0	3.6113	38	0	38
51.0	3.6113	30	0	27
52.0	3.6113	28	0	25
53.0	3.6113	30	0	25
54.0	3.6113	21	0	24
55.0	3.611301	28	0	30
56.0	3.611301	27	0	21
57.0	3.611301	21	0	19
58.0	3.611301	15	0	22
59.0	3.611301	29	0	25
60.0	3.611301	28	0	30
61.0	3.611301	22	0	33
62.0	3.611301	28	0	23
63.0	3.611301	28	0	26
64.0	3.611301	26	0	16
65.0	3.611301	12	0	22
66.0	3.611301	26	0	22
67.0	3.611301	20	0	22
68.0	3.611301	23	0	23
69.0	3.611301	21	0	15
70.0	3.611301	16	0	17
71.0	3.611301	13	0	14
72.0	3.611301	14	0	10
73.0	3.611301	12	0	12
74.0	3.611301	8	0	19
75.0	3.611301	19	0	13
76.0	3.611301	15	0	24
77.0	3.611301	22	0	18
78.0	3.611301	21	0	17
79.0	3.611301	15	0	12
80.0	3.611301	17	0	18
81.0	3.611301	12	0	14
82.0	3.611301	18	0	14
83.0	3.611301	12	0	11
84.0	3.611301	12	0	14
85.0	3.611301	12	0	14
86.0	3.611301	12	0	5
87.0	3.611301	9	0	12
88.0	3.611301	11	0	10
89.0	3.611301	11	0	11
90.0	3.611301	7	0	16
91.0	3.611301	16	0	9
92.0	3.611301	6	0	15
93.0	3.611301	17	0	10
94.0	3.611301	9	0	14
95.0	3.611301	17	0	12
96.0	3.611301	8	0	10
97.0	3.611301	7	0	12
98.0	3.611301	10	0	1
99.0	3.611301	7	0	12
100.0	3.611301	10	0	11
101.0	0	13	0	11
102.0	0	10	0	8
103.0	0	10	0	11
104.0	0	11	0	14
105.0	0	8	0	9
106.0	0	13	0	8
107.0	0	12	0	8
108.0	0	11	0	10
109.0	0	4	0	6
110.0	0	8	0	10
111.0	0	8	0	6
112.0	0	7	0	7
113.0	0	10	0	5
114.0	0	6	0	8
115.0	0	6	0	4
116.0	0	4	0	5
117.0	0	6	0	12
118.0	0	9	0	7
119.0	0	7	0	7
120.0	0	9	0	3
121.0	0	4	0	4
122.0	0	1	0	6
123.0	0	4	0	4
124.0	0	6	0	9
125.0	0	7	0	9
126.0	0	5	0	7
127.0	0	8	0	5
128.0	0	7	0	2
129.0	0	5	0	8
130.0	0	8	0	5
131.0	0	7	0	7
132.0	0	5	0	10
133.0	0	4	0	5
134.0	0	7	0	8
135.0	0	9	0	3
136.0	0	5	0	3
137.0	0	1	0	3
138.0	0	10	0	9
139.0	0	3	0	9
140.0	0	8	0	2
141.0	0	6	0	4
142.0	0	3	0	6
143.0	0	3	0	2
144.0	0	1	0	3
145.0	0	6	0	7
146.0	0	3	0	2
147.0	0	6	0	7
148.0	0	4	0	3
149.0	0	7	0	2
150.0	0	2	0	3
151.0	0	2	0	3
152.0	0	5	0	5
153.0	0	2	0	1
154.0	0	2	0	2
155.0	0	2	0	2
156.0	0	4	0	3
157.0	0	3	0	3
158.0	0	2	0	1
159.0	0	0	0	4
160.0	0	5	0	5
161.0	0	4	0	3
162.0	0	5	0	2
163.0	0	2	0	2
164.0	0	0	0	1
165.0	0	3	0	5
166.0	0	3	0	1
167.0	0	2	0	3
168.0	0	4	0	3
169.0	0	3	0	2
170.0	0	1	0	3
171.0	0	3	0	6
172.0	0	3	0	3
173.0	0	2	0	2
174.0	0	5	0	3
175.0	0	0	0	2
176.0	0	3	0	0
177.0	0	2	0	1
178.0	0	2	0	5
179.0	0	3	0	3
180.0	0	3	0	1
181.0	0	5	0	1
182.0	0	0	0	3
183.0	0	1	0	1
184.0	0	1	0	2
185.0	0	2	0	1
186.0	0	1	0	1
187.0	0	2	0	5
188.0	0	1	0	0
189.0	0	3	0	1
190.0	0	1	0	4
191.0	0	2	0	1
192.0	0	4	0	3
193.0	0	2	0	1
194.0	0	1	0	0
195.0	0	0	0	1
196.0	0	2	0	0
197.0	0	1	0	2
198.0	0	0	0	3
199.0	0	2	0	1
200.0	0	2	0	2
201.0	0	2	0	2
202.0	0	1	0	3
203.0	0	2	0	3
204.0	0	3	0	1
205.0	0	5	0	1
206.0	0	1	0	0
207.0	0	2	0	2
208.0	0	1	0	0
209.0	0	0	0	1
210.0	0	0	0	1
211.0	0	1	0	0
212.0	0	0	0	2
213.0	0	1	0	0
214.0	0	2	0	4
215.0	0	1	0	0
216.0	0	1	0	1
217.0	0	1	0	3
218.0	0	4	0	0
219.0	0	0	0	4
220.0	0	2	0	0
221.0	0	0	0	1
222.0	0	2	0	0
223.0	0	1	0	0
224.0	0	3	0	4
225.0	0	0	0	2
226.0	0	2	0	1
227.0	0	2	0	2
228.0	0	3	0	2
229.0	0	1	0	0
230.0	0	0	0	3
231.0	0	1	0	0
232.0	0	1	0	0
233.0	0	2	0	0
234.0	0	0	0	4
235.0	0	2	0	0
236.0	0	1	0	1
237.0	0	0	0	1
238.0	0	1	0	3
239.0	0	1	0	0
240.0	0	4	0	1
242.0	0	0	0	2
243.0	0	1	0	3
244.0	0	1	0	2
245.0	0	1	0	0
246.0	0	2	0	3
247.0	0	2	0	0
248.0	0	2	0	0
249.0	0	1	0	1
250.0	0	1	0	0
251.0	0	1	0	2
252.0	0	2	0	1
254.0	0	1	0	0
255.0	0	0	0	3
256.0	0	0	0	2
257.0	0	1	0	1
259.0	0	2	0	1
260.0	0	1	0	1
261.0	0	1	0	0
262.0	0	0	0	2
263.0	0	1	0	0
264.0	0	1	0	0
265.0	0	2	0	2
267.0	0	1	0	1
268.0	0	0	0	2
269.0	0	0	0	1
271.0	0	3	0	0
272.0	0	1	0	0
273.0	0	1	0	3
274.0	0	1	0	1
277.0	0	1	0	2
278.0	0	2	0	1
279.0	0	1	0	0
280.0	0	1	0	0
281.0	0	0	0	1
282.0	0	1	0	0
283.0	0	0	0	1
285.0	0	1	0	1
286.0	0	1	0	1
287.0	0	2	0	2
290.0	0	2	0	0
291.0	0	1	0	0
292.0	0	0	0	1
293.0	0	1	0	0
294.0	0	0	0	2
298.0	0	1	0	3
299.0	0	1	0	0
300.0	0	1	0	0
302.0	0	1	0	0
303.0	0	1	0	0
307.0	0	0	0	1
309.0	0	1	0	0
313.0	0	0	0	1
314.0	0	0	0	1
316.0	0	0	0	1
318.0	0	1	0	0
321.0	0	2	0	0
323.0	0	0	0	1
326.0	0	1	0	0
328.0	0	0	0	1
330.0	0	1	0	0
337.0	0	0	0	2
339.0	0	0	0	1
340.0	0	1	0	0
342.0	0	2	0	0
348.0	0	0	0	1
349.0	0	0	0	2
350.0	0	1	0	0
352.0	0	0	0	1
353.0	0	1	0	0
354.0	0	1	0	0
355.0	0	1	0	0
359.0	0	0	0	1
360.0	0	0	0	1
361.0	0	0	0	1
363.0	0	1	0	0
364.0	0	1	0	0
365.0	0	1	0	0
368.0	0	0	0	1
373.0	0	1	0	0
375.0	0	0	0	1
376.0	0	0	0	1
382.0	0	1	0	1
383.0	0	1	0	0
384.0	0	1	0	0
387.0	0	0	0	1
388.0	0	0	0	2
390.0	0	2	0	0
391.0	0	0	0	1
393.0	0	1	0	0
394.0	0	1	0	0
399.0	0	0	0	1
404.0	0	0	0	1
409.0	0	1	0	0
411.0	0	1	0	0
418.0	0	0	0	1
422.0	0	1	0	1
425.0	0	0	0	1
430.0	0	1	0	0
431.0	0	1	0	0
434.0	0	0	0	1
441.0	0	1	0	0
442.0	0	0	0	1
448.0	0	0	0	1
449.0	0	1	0	0
455.0	0	1	0	0
460.0	0	0	0	1
469.0	0	1	0	0
476.0	0	0	0	1
481.0	0	1	0	0
512.0	0	0	0	1
518.0	0	1	0	0
527.0	0	0	0	1
540.0	0	1	0	0
544.0	0	0	0	1
550.0	0	1	0	0
683.0	0	0	0	1
690.0	0	1	0	0
804.0	0	0	0	1
811.0	0	1	0	0
864.0	0	0	0	1
872.0	0	1	0	0

