## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../bams/MR19male2_sorted.bam] OUTPUT=../bams/MR19male2_sorted_marked.bam METRICS_FILE=MR19male2_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 09 22:55:01 GMT 2014

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	25103	14857577	357749	878173	8357	2257406	323333	0.152089	49650666

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.019087	10906092	0	11132949
2.0	1.774617	1414169	295309	1258475
3.0	2.334752	224998	12439	171276
4.0	2.750024	39085	790	25771
5.0	3.057899	7838	99	4740
6.0	3.286151	2147	29	1403
7.0	3.455373	795	13	605
8.0	3.58083	482	5	445
9.0	3.673842	345	3	313
10.0	3.742799	222	4	233
11.0	3.793922	193	0	181
12.0	3.831824	184	2	185
13.0	3.859923	163	1	161
14.0	3.880756	139	1	144
15.0	3.8962	121	0	114
16.0	3.907651	112	1	109
17.0	3.91614	106	0	100
18.0	3.922434	93	0	99
19.0	3.9271	76	0	75
20.0	3.930559	79	0	77
21.0	3.933124	73	0	74
22.0	3.935025	73	0	71
23.0	3.936435	78	0	73
24.0	3.93748	63	0	66
25.0	3.938254	68	0	72
26.0	3.938829	53	0	52
27.0	3.939255	54	0	53
28.0	3.93957	58	0	59
29.0	3.939805	49	0	43
30.0	3.939978	43	0	49
31.0	3.940107	53	0	43
32.0	3.940202	45	0	51
33.0	3.940273	42	0	41
34.0	3.940325	44	0	43
35.0	3.940364	51	0	53
36.0	3.940393	35	0	41
37.0	3.940414	49	0	52
38.0	3.94043	42	0	30
39.0	3.940442	36	0	35
40.0	3.940451	32	0	40
41.0	3.940457	44	0	45
42.0	3.940462	31	0	31
43.0	3.940465	39	0	35
44.0	3.940468	32	0	39
45.0	3.94047	34	0	32
46.0	3.940471	29	0	31
47.0	3.940472	32	0	26
48.0	3.940473	34	0	34
49.0	3.940474	31	0	36
50.0	3.940474	27	0	21
51.0	3.940475	20	0	22
52.0	3.940475	33	0	32
53.0	3.940475	24	0	24
54.0	3.940475	29	0	23
55.0	3.940475	22	0	30
56.0	3.940475	24	0	21
57.0	3.940475	21	0	20
58.0	3.940475	32	0	30
59.0	3.940475	18	0	21
60.0	3.940476	23	0	32
61.0	3.940476	29	0	21
62.0	3.940476	22	0	18
63.0	3.940476	21	0	25
64.0	3.940476	18	0	16
