## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../bams/MR_female_sorted.bam] OUTPUT=../bams/MR_female_sorted_marked.bam METRICS_FILE=MR_female_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 09 22:54:33 GMT 2014

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	20064	12178951	136717	4367614	5064	1901604	271232	0.156218	39417995

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.019443	8763592	0	8946248
2.0	1.767922	1237832	247854	1119091
3.0	2.317458	219958	10619	173835
4.0	2.720928	42375	616	29206
5.0	3.017158	8671	49	5269
6.0	3.234651	1990	5	1108
7.0	3.394335	608	2	372
8.0	3.511575	282	3	221
9.0	3.597653	167	2	158
10.0	3.660852	169	1	163
11.0	3.707253	134	0	124
12.0	3.741321	126	0	123
13.0	3.766333	96	0	91
14.0	3.784698	91	1	94
15.0	3.798181	91	0	91
16.0	3.80808	78	0	75
17.0	3.815348	75	0	80
18.0	3.820685	56	0	57
19.0	3.824603	54	0	57
20.0	3.827479	67	0	65
21.0	3.829591	58	0	51
22.0	3.831142	51	0	52
23.0	3.83228	50	0	45
24.0	3.833116	28	0	37
25.0	3.83373	50	0	48
26.0	3.834181	42	0	39
27.0	3.834511	38	0	35
28.0	3.834754	25	0	29
29.0	3.834933	38	0	38
30.0	3.835063	25	0	22
31.0	3.83516	27	0	27
32.0	3.83523	19	0	23
33.0	3.835282	20	0	17
34.0	3.83532	19	0	15
35.0	3.835348	12	0	14
36.0	3.835368	23	0	22
37.0	3.835384	20	0	16
38.0	3.835395	9	0	15
39.0	3.835403	16	0	19
40.0	3.835409	18	0	17
41.0	3.835413	14	0	6
42.0	3.835416	6	0	9
43.0	3.835419	5	0	7
44.0	3.83542	7	0	7
45.0	3.835422	11	0	9
46.0	3.835423	11	0	8
47.0	3.835423	6	0	9
48.0	3.835424	8	0	8
49.0	3.835424	14	0	15
50.0	3.835424	6	0	8
51.0	3.835425	11	0	12
52.0	3.835425	10	0	7
53.0	3.835425	7	0	5
54.0	3.835425	7	0	6
55.0	3.835425	4	0	4
56.0	3.835425	3	0	3
57.0	3.835425	4	0	2
58.0	3.835425	1	0	6
59.0	3.835425	6	0	3
60.0	3.835425	5	0	7
61.0	3.835425	5	0	3
62.0	3.835425	3	0	2
63.0	3.835425	2	0	4
64.0	3.835425	4	0	4
65.0	3.835425	4	0	4
66.0	3.835425	3	0	2
67.0	3.835425	0	0	0
68.0	3.835425	2	0	4
69.0	3.835425	2	0	7
70.0	3.835425	11	0	5
71.0	3.835425	3	0	1
72.0	3.835425	0	0	1
73.0	3.835425	1	0	2
74.0	3.835425	4	0	3
75.0	3.835425	2	0	5
76.0	3.835425	2	0	1
77.0	3.835425	5	0	1
78.0	3.835425	0	0	1
79.0	3.835425	1	0	0
80.0	3.835425	1	0	2
81.0	3.835425	0	0	0
82.0	3.835425	1	0	2
83.0	3.835425	2	0	2
84.0	3.835425	1	0	0
85.0	3.835425	1	0	2
86.0	3.835425	2	0	2
87.0	3.835425	1	0	0
88.0	3.835425	2	0	1
89.0	3.835425	0	0	1
90.0	3.835425	2	0	3
91.0	3.835425	3	0	1
92.0	3.835425	1	0	3
93.0	3.835425	1	0	0
94.0	3.835425	2	0	2
95.0	3.835425	0	0	0
96.0	3.835425	1	0	0
97.0	3.835425	0	0	1
98.0	3.835425	0	0	1
99.0	3.835425	1	0	0
100.0	3.835425	0	0	0
101.0	0	1	0	1
102.0	0	1	0	0
103.0	0	0	0	1
104.0	0	1	0	2
105.0	0	1	0	1
106.0	0	1	0	2
107.0	0	2	0	0
108.0	0	0	0	1
109.0	0	4	0	2
111.0	0	0	0	1
112.0	0	1	0	0
113.0	0	1	0	1
115.0	0	0	0	1
117.0	0	1	0	0
120.0	0	0	0	1
121.0	0	1	0	0
122.0	0	0	0	1
123.0	0	0	0	1
124.0	0	1	0	0
126.0	0	1	0	0
137.0	0	0	0	1
138.0	0	0	0	1
140.0	0	2	0	0
141.0	0	0	0	1
142.0	0	1	0	0
148.0	0	1	0	2
149.0	0	1	0	0
177.0	0	0	0	1
179.0	0	1	0	0
197.0	0	0	0	1
200.0	0	1	0	0
227.0	0	0	0	1
229.0	0	1	0	0

