## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../bams/MR_male_sorted.bam] OUTPUT=../bams/MR_male_sorted_marked.bam METRICS_FILE=MR_male_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Dec 15 12:25:07 GMT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	24053	12803070	233193	3554381	7894	2014470	277769	0.157503	40887551

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.018889	9301001	0	9491801
2.0	1.763855	1226011	253170	1097858
3.0	2.308542	207101	10867	160868
4.0	2.706792	38875	725	26482
5.0	2.997975	8002	90	5021
6.0	3.210876	2040	33	1293
7.0	3.366539	781	18	598
8.0	3.480353	457	3	395
9.0	3.563569	307	1	282
10.0	3.624413	202	2	196
11.0	3.668899	180	1	184
12.0	3.701425	188	0	189
13.0	3.725207	134	0	127
14.0	3.742595	115	0	115
15.0	3.755309	116	0	117
16.0	3.764604	97	0	100
17.0	3.771401	91	0	90
18.0	3.77637	80	0	79
19.0	3.780003	67	0	67
20.0	3.78266	65	0	63
21.0	3.784602	69	0	64
22.0	3.786023	68	0	73
23.0	3.787061	53	0	56
24.0	3.78782	60	0	61
25.0	3.788375	51	0	50
26.0	3.788781	42	0	42
27.0	3.789078	50	0	52
28.0	3.789295	52	0	43
29.0	3.789453	57	0	62
30.0	3.789569	49	0	50
31.0	3.789654	46	0	44
32.0	3.789716	40	0	36
33.0	3.789761	37	0	46
34.0	3.789795	43	0	38
35.0	3.789819	38	0	37
36.0	3.789837	37	0	43
37.0	3.78985	47	0	38
38.0	3.789859	31	0	36
39.0	3.789866	37	0	36
40.0	3.789871	48	0	50
41.0	3.789875	39	0	36
42.0	3.789877	27	0	27
43.0	3.789879	28	0	29
44.0	3.789881	31	0	35
45.0	3.789882	36	0	31
46.0	3.789883	23	0	21
47.0	3.789883	28	0	29
48.0	3.789884	27	0	32
49.0	3.789884	34	0	33
50.0	3.789884	34	0	39
51.0	3.789884	39	0	29
52.0	3.789884	30	0	44
53.0	3.789885	29	0	29
54.0	3.789885	36	0	33
55.0	3.789885	42	0	34
56.0	3.789885	27	0	29
57.0	3.789885	25	0	23
58.0	3.789885	28	0	26
59.0	3.789885	24	0	27
60.0	3.789885	27	0	19
61.0	3.789885	13	0	19
62.0	3.789885	21	0	22
63.0	3.789885	16	0	15
64.0	3.789885	24	0	25
